,rank,rating,name,score/round,damage/round,k/d_ratio,hs_percentage(%),win_percentage(%),top_3_agents,top_weapon,top_weapon_hs_percentage(%)
39,41,860,Dark3st#7489,238.7,155.1,1.19,31.1,63.4,"['KAY/O', 'Viper', 'Reyna']","['Vandal', 'Spectre', 'Ghost']",45
40,42,858,GianSanity#AIM,225.3,144.5,1.08,25.8,53.0,"['Jett', 'Chamber', 'Phoenix']","['Vandal', 'Operator', 'Ghost']",39
41,44,857,Toskri#915,246.5,165.0,1.22,35.5,57.9,"['Reyna', 'Raze', 'Jett']","['Vandal', 'Ghost', 'Sheriff']",50
42,43,858,DraYstaR#zapr,202.2,132.4,1.16,25.8,51.6,"['Sova', 'Sage', 'Astra']","['Vandal', 'Phantom', 'Sheriff']",37
43,45,848,진지하게 약빨고 집중한 우상범#3r0vi,210.2,133.3,0.96,18.0,52.5,"['Brimstone', 'Omen', 'Phoenix']","['Vandal', 'Phantom', 'Stinger']",35
44,46,848,분노해서 약빨고 폭주한 우상범#ixrx3,211.2,135.1,1.00,19.0,59.4,"['Brimstone', 'Omen', 'Fade']","['Vandal', 'Phantom', 'Spectre']",34
45,47,848,XSET Noia#iceqb,244.1,160.6,1.24,33.2,53.3,"['Chamber', 'Jett', 'Reyna']","['Vandal', 'Operator', 'Sheriff']",47
46,48,846,SEN TenZ#0505,262.8,170.7,1.37,26.3,64.6,"['Jett', 'KAY/O', 'Chamber']","['Vandal', 'Operator', 'Sheriff']",40
47,50,842,SEN ShahZaM#jam,242.8,160.8,1.17,25.0,49.3,"['Raze', 'Sova', 'Jett']","['Vandal', 'Operator', 'Phantom']",38
48,49,844,poopybutt9000#watt,252.3,162.7,1.33,29.4,77.4,"['Viper', 'Chamber', 'Omen']","['Vandal', 'Spectre', 'Ghost']",41
49,51,842,Playboi Joe#jvN,221.7,147.5,1.10,24.4,58.4,"['Sova', 'Raze', 'Fade']","['Vandal', 'Stinger', 'Phantom']",40
50,52,842,governor#ciao,264.7,168.9,1.26,29.1,51.5,"['Chamber', 'Jett', 'Raze']","['Vandal', 'Operator', 'Phantom']",46
51,53,837,glyph#XLVII,211.9,137.9,0.98,28.4,50.2,"['Reyna', 'Sova', 'Chamber']","['Vandal', 'Phantom', 'Ghost']",42
52,68,819,Relyks#vibin,220.1,145.1,1.11,26.2,53.9,"['Raze', 'Jett', 'Chamber']","['Vandal', 'Spectre', 'Ghost']",37
53,54,835,Velocity#Smile,226.4,150.5,1.05,29.3,54.5,"['Chamber', 'Jett', 'Reyna']","['Vandal', 'Phantom', 'Sheriff']",45
54,55,830,samdlphn#linda,210.0,138.2,1.00,28.7,48.8,"['Chamber', 'Jett', 'Reyna']","['Vandal', 'Operator', 'Ghost']",44
55,56,829,Cryocells#Taffy,271.1,173.2,1.35,26.4,58.2,"['Chamber', 'Raze', 'Jett']","['Vandal', 'Operator', 'Ghost']",38
56,57,829,eeiu#1945,264.1,171.0,1.24,35.5,54.1,"['Reyna', 'Sova', 'Fade']","['Vandal', 'Sheriff', 'Ghost']",48
57,58,827,MSF florescent#meow,263.8,174.7,1.23,37.9,54.3,"['Jett', 'Reyna', 'Phoenix']","['Vandal', 'Phantom', 'Guardian']",52
58,60,825,100T bang#0000,259.1,169.5,1.28,40.4,56.7,"['Chamber', 'Viper', 'Omen']","['Phantom', 'Vandal', 'Ghost']",51
59,61,824,CalcFN#PRBLM,236.9,157.6,1.05,22.2,54.8,"['Raze', 'Jett', 'Phoenix']","['Vandal', 'Phantom', 'Spectre']",36
60,62,823,EG C0M#512,219.2,143.8,1.10,27.2,55.7,"['Sova', 'Fade', 'Breach']","['Vandal', 'Phantom', 'Ghost']",43
