rank,rating,name,score/round,damage/round,k/d_ratio,hs_percentage(%),win_percentage(%),top_1_agents_name,top_1_agents_hours,top_1_agents_win%,top_1_agents_acs,top_2_agents_name,top_2_agents_hours,top_2_agents_win%,top_2_agents_acs,top_3_agents_name,top_3_agents_hours,top_3_agents_win%,top_3_agents_acs,top_1_weapon,top_1_weapon_kills,top_1_hs%,top_2_weapon,top_2_weapon_kills,top_2_weapon_hs%,top_3_weapon,top_3_weapon_kills,top_3_weapon_hs%
54,859,governor#ciao,264.6,168.8,1.26,29.1,51.8,Chamber,68.0,52.9,264.8,Jett,9.9,52.6,286.0,Raze,6.1,41.7,267.1,Vandal,"1,381",46,Operator,476,9,Phantom,175,31
55,853,glyph#XLVII,211.8,137.9,0.98,28.4,50.4,Reyna,24.0,57.1,227.4,Sova,18.0,57.6,204.5,Chamber,15.0,44.4,217.3,Vandal,"2,004",42,Phantom,426,31,Ghost,301,49
56,853,BLuezZ#MAIN,214.9,140.5,1.11,27.9,53.9,Chamber,67.0,55.5,224.8,Fade,56.0,55.3,207.5,Brimstone,17.0,54.8,193.8,Vandal,"2,135",40,Phantom,574,36,Operator,350,10
57,851,ZexRowFN#NA2,229.9,148.2,1.08,30.2,54.7,Chamber,49.0,52.7,238.9,Reyna,17.0,57.6,230.5,Skye,15.0,42.9,214.0,Vandal,"2,105",46,Phantom,611,37,Operator,313,6
58,848,Weixin VinLeous#wCHAT,221.3,145.6,1.07,21.1,58.8,Sova,41.0,60.8,213.9,Brimstone,15.0,59.3,207.7,Chamber,13.0,56.0,244.6,Vandal,"1,530",31,Spectre,190,20,Classic,121,37
59,847,Dark3st#7489,236.5,153.9,1.17,31.2,62.0,KAY/O,14.0,44.0,225.5,Viper,10.0,84.2,235.3,Breach,7.5,61.5,247.1,Vandal,"1,247",45,Spectre,91,38,Ghost,90,50
60,847,acrian#420,230.2,147.7,1.13,28.4,53.0,Chamber,76.0,52.2,236.6,Jett,8.5,68.8,219.6,Reyna,5.5,50.0,256.3,Vandal,"1,347",43,Operator,622,9,Guardian,136,39
61,844,EG C0M#512,220.4,144.7,1.11,27.5,55.9,Sova,21.0,56.4,229.9,Fade,15.0,50.0,216.5,Breach,6.8,66.7,224.3,Vandal,948,43,Phantom,528,34,Ghost,108,46
62,839,IMT sarah#1v9,224.8,146.7,1.12,42.4,51.6,KAY/O,32.0,50.0,237.4,Sova,31.0,49.1,215.9,Fade,20.0,60.0,208.4,Vandal,"2,337",55,Sheriff,408,69,Guardian,327,66
63,838,Playboi Joe#jvN,222.0,147.5,1.1,24.5,57.9,Sova,19.0,51.4,224.2,Fade,9.3,61.1,206.9,Raze,8.9,62.5,234.6,Vandal,"1,111",40,Phantom,267,32,Stinger,199,19
64,832,12pk#ALICE,226.1,151.3,1.12,28.6,52.8,Reyna,60.0,56.1,230.5,Chamber,5.4,44.4,227.1,Raze,3.1,33.3,233.9,Vandal,"1,515",39,Guardian,226,59,Ghost,204,50
65,832,Cosmo#ETP,230.1,146.4,1.05,21.6,54.5,Yoru,53.0,55.2,233.3,Chamber,34.0,56.9,232.2,Raze,12.0,65.2,259.2,Vandal,"1,886",33,Phantom,532,29,Stinger,291,25
66,830,Huji#SBU,228.5,149.7,1.1,22.2,52.6,Chamber,74.0,53.7,236.5,Jett,49.0,55.3,226.5,Raze,17.0,56.7,216.0,Vandal,"2,636",33,Operator,389,8,Sheriff,182,41
67,829,tex#1of1,264.0,167.2,1.38,38.9,60.2,Chamber,43.0,64.0,265.2,Jett,13.0,58.3,260.1,Fade,4.2,25.0,224.8,Vandal,"1,172",53,Operator,341,11,Ghost,235,64
69,827,FS dcop#peach,235.0,154.9,1.05,20.8,51.8,Raze,33.0,54.0,259.9,KAY/O,25.0,55.6,219.6,Chamber,6.8,38.5,222.7,Vandal,"1,074",37,Phantom,612,28,Ghost,197,46
70,823,reach#lavi,254.2,163.2,1.27,25.3,56.6,Chamber,23.0,55.0,250.1,Jett,17.0,60.6,251.1,Raze,9.5,55.6,271.5,Vandal,996,41,Operator,207,6,Stinger,85,28
71,823,TiGG#alot,230.0,148.6,1.13,28.2,51.5,Chamber,37.0,56.2,243.3,KAY/O,12.0,52.2,233.2,Fade,12.0,47.8,265.3,Vandal,"2,805",45,Operator,291,8,Ghost,198,50
72,822,req#oppaí,261.5,170.6,1.36,35.2,54.5,Chamber,44.0,57.5,260.6,Reyna,12.0,65.2,290.3,Jett,10.0,36.8,232.8,Vandal,"2,076",49,Ghost,268,52,Operator,231,6
73,821,Radiant Ronald#Sigma,247.6,154.8,1.04,16.3,48.0,Phoenix,87.0,47.4,256.0,Reyna,50.0,49.5,244.4,Yoru,23.0,46.5,238.4,Phantom,"2,265",28,Vandal,"1,392",34,Judge,795,9
74,819,Bankroft#ROFL,226.5,149.0,1.13,22.7,55.2,Astra,16.0,64.3,237.7,Breach,11.0,47.6,243.8,Sova,8.9,40.0,210.7,Vandal,"1,284",34,Phantom,288,25,Classic,176,39
75,816,WaterBuffalo#Buff,215.8,142.3,1.13,26.7,52.4,Sova,49.0,51.7,209.0,Chamber,48.0,52.9,237.7,Brimstone,18.0,63.3,208.5,Vandal,"2,379",39,Operator,240,10,Spectre,166,21
